EOdd_sep_abs,matthews,thresh_g0,thresh_g1
0.0028194785118103027,-0.0026845817919820547,0.01,0.01
0.00722348690032959,0.010091866366565228,0.01,0.03
0.01379936933517456,0.017712300643324852,0.01,0.05
0.029675781726837158,0.02743636444211006,0.01,0.07
0.05132162570953369,0.034929729998111725,0.01,0.09
0.08314192295074463,0.03950713202357292,0.01,0.11
0.1108739972114563,0.04771605134010315,0.01,0.13
0.14622706174850464,0.05435764789581299,0.01,0.15
0.17775654792785645,0.06364763528108597,0.01,0.17
0.2210877537727356,0.07011780887842178,0.01,0.19
0.2715504765510559,0.07445085048675537,0.01,0.21
0.3273847699165344,0.07782325893640518,0.01,0.23
0.3757835030555725,0.08390291035175323,0.01,0.25
0.4342641234397888,0.08797179162502289,0.01,0.27
0.49705779552459717,0.09102831035852432,0.01,0.29
0.571653425693512,0.09300070255994797,0.01,0.31
0.6335606575012207,0.09509149193763733,0.01,0.33
0.7064099311828613,0.1009514182806015,0.01,0.35
0.7850010991096497,0.10049162060022354,0.01,0.37
0.8542250394821167,0.10375618189573288,0.01,0.39
0.9318503737449646,0.10443083941936493,0.01,0.41
1.0049375295639038,0.10513637959957123,0.01,0.43
1.0784611701965332,0.1051754578948021,0.01,0.45
1.1483333110809326,0.10633095353841782,0.01,0.47
1.2183376550674438,0.10764069110155106,0.01,0.49
1.281911849975586,0.10933389514684677,0.01,0.51
1.3606219291687012,0.10751262307167053,0.01,0.53
1.4266040325164795,0.10635639727115631,0.01,0.55
1.5025752782821655,0.10319963097572327,0.01,0.57
1.570965051651001,0.09917554259300232,0.01,0.59
1.6227636337280273,0.09840592741966248,0.01,0.61
1.6782536506652832,0.09585899859666824,0.01,0.63
1.7468020915985107,0.08838415145874023,0.01,0.65
1.785951852798462,0.08637207001447678,0.01,0.67
1.8266761302947998,0.08200883120298386,0.01,0.69
1.8590385913848877,0.07921303063631058,0.01,0.71
1.8865981101989746,0.07611627131700516,0.01,0.73
1.916182041168213,0.07261963933706284,0.01,0.75
1.9375760555267334,0.06979567557573318,0.01,0.77
1.958837866783142,0.0669398084282875,0.01,0.79
1.9732328653335571,0.06509430706501007,0.01,0.81
1.9780752658843994,0.06449057906866074,0.01,0.83
1.9888583421707153,0.06263937056064606,0.01,0.85
1.9912796020507812,0.06233755126595497,0.01,0.87
1.9919410943984985,0.06250902265310287,0.01,0.89
1.9939653873443604,0.062104757875204086,0.01,0.91
1.9939653873443604,0.062104757875204086,0.01,0.93
1.9940977096557617,0.06213884428143501,0.01,0.95
1.9940977096557617,0.06213884428143501,0.01,0.97
1.9940977096557617,0.06213884428143501,0.01,0.99
0.007304370403289795,0.009239801205694675,0.03,0.01
0.0027385950088500977,0.01628045365214348,0.03,0.03
0.009314477443695068,0.022034479305148125,0.03,0.05
0.025190889835357666,0.030535239726305008,0.03,0.07
0.0468367338180542,0.037450212985277176,0.03,0.09
0.07865703105926514,0.04172922298312187,0.03,0.11
0.1063891053199768,0.04963232949376106,0.03,0.13
0.14174216985702515,0.05607975646853447,0.03,0.15
0.17327165603637695,0.0651850700378418,0.03,0.17
0.2166028618812561,0.07154788821935654,0.03,0.19
0.2670655846595764,0.07581646740436554,0.03,0.21
0.32289987802505493,0.07914253324270248,0.03,0.23
0.371298611164093,0.08516476303339005,0.03,0.25
0.4297792315483093,0.08919847011566162,0.03,0.27
0.4925729036331177,0.09223102033138275,0.03,0.29
0.5671685338020325,0.09418769925832748,0.03,0.31
0.6290757656097412,0.09626595675945282,0.03,0.33
0.7019250392913818,0.1021023765206337,0.03,0.35
0.7805162072181702,0.10164352506399155,0.03,0.37
0.8497401475906372,0.1048998162150383,0.03,0.39
0.9273654818534851,0.10557486116886139,0.03,0.41
1.0004526376724243,0.1062818095088005,0.03,0.43
1.0739762783050537,0.1063242107629776,0.03,0.45
1.1438484191894531,0.10748227685689926,0.03,0.47
1.2138527631759644,0.10879543423652649,0.03,0.49
1.2774269580841064,0.11049254983663559,0.03,0.51
1.3561370372772217,0.10868029296398163,0.03,0.53
1.422119140625,0.10753127932548523,0.03,0.55
1.498090386390686,0.10438394546508789,0.03,0.57
1.5664801597595215,0.10036864876747131,0.03,0.59
1.6182787418365479,0.0996050238609314,0.03,0.61
1.6737687587738037,0.0970645397901535,0.03,0.63
1.7423171997070312,0.08959752321243286,0.03,0.65
1.7814669609069824,0.0875898003578186,0.03,0.67
1.8221912384033203,0.0832303836941719,0.03,0.69
1.8545536994934082,0.0804378092288971,0.03,0.71
1.8821132183074951,0.07734345644712448,0.03,0.73
1.9116971492767334,0.07384926825761795,0.03,0.75
1.933091163635254,0.07102691382169724,0.03,0.77
1.9543529748916626,0.06817255169153214,0.03,0.79
1.9687479734420776,0.06632784754037857,0.03,0.81
1.97359037399292,0.0657244548201561,0.03,0.83
1.9843734502792358,0.06387387216091156,0.03,0.85
1.9867947101593018,0.06357241421937943,0.03,0.87
1.987456202507019,0.0637439712882042,0.03,0.89
1.9894804954528809,0.06333981454372406,0.03,0.91
1.9894804954528809,0.06333981454372406,0.03,0.93
1.9896128177642822,0.06337392330169678,0.03,0.95
1.9896128177642822,0.06337392330169678,0.03,0.97
1.9896128177642822,0.06337392330169678,0.03,0.99
0.01714611053466797,0.021330133080482483,0.05,0.01
0.01185375452041626,0.02559804357588291,0.05,0.03
0.0012292861938476562,0.029644791036844254,0.05,0.05
0.015349149703979492,0.036532942205667496,0.05,0.07
0.036994993686676025,0.0425366535782814,0.05,0.09
0.06881529092788696,0.04631190001964569,0.05,0.11
